TUI_ID,TUI_NAME,TUI_TOOLTIP,TUI_ORDER,TUI_TYPE
1,sitna.attribution,Attribution,0,
2,sitna.basemapSelector,Basemap Selector,0,
3,sitna.click,Click,0,
4,sitna.coordinates,Coordinates,0,
5,sitna.dataLoader,Data Loader,0,
6,sitna.download,Download,0,
7,sitna.drawMeasureModify,"Draw, Measure and Modify",0,
8,sitna.featureInfo,Feature Info,0,
9,sitna.fullScreen,Full Screen,0,
10,sitna.geolocation,Geolocation,0,
11,sitna.layerCatalog,Layer Catalog,0,
12,sitna.legend,Legend,0,
13,sitna.loadingIndicator,Loading Indicator,0,
14,sitna.measure,Measure,0,
15,sitna.multiFeatureInfo,Multi Feature Info,0,
16,sitna.navBar,Navigation Bar,0,
17,sitna.offlineMapMaker,Offline Map Maker,0,
18,sitna.overviewMap,Overview Map,0,
19,sitna.popup,Popup,0,
20,sitna.printMap,Print Map,0,
21,sitna.scale,Scale,0,
22,sitna.scaleBar,Scale Bar,0,
23,sitna.scaleSelector,Scale Selector,0,
24,sitna.search,Search,0,
25,sitna.share,Share,0,
26,sitna.streetView,Street View,0,
27,sitna.threed,3D View,0,
28,sitna.WFSEdit,WFSEdit,0,
29,sitna.WFSQuery,WFS Query,0,
30,sitna.workLayerManager,Work Layer Manager,0,
